"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","central_fixation","clock_backend","color_backend","correct","correct_welcome","count_end_sketchpad","count_experiment","count_fix_sketchpad","count_fixation","count_fixation_inline_script","count_fixation_pygaze_log","count_fixation_script","count_fixation_sketchpad","count_getting_started","count_image_loop","count_image_stimulus","count_initial_fixation","count_new_1_inline_script","count_new_1_loop","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_inline_script","count_new_2_loop","count_new_2_pygaze_log","count_new_3_inline_script","count_new_3_loop","count_new_4_inline_script","count_new_4_loop","count_new_inline_script","count_new_logger","count_new_loop","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sequence","count_position_loop","count_shuffle_to_csv","count_welcome","d","datetime","description","disable_garbage_collection","experiment_file","experiment_path","file_path","filename","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i","keyboard_backend","live_row","live_row_position_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","picture1","picture2","repeat_cycle","response","response_end_sketchpad","response_time","response_time_end_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","stimulus1","stimulus2","subject_nr","subject_parity","t0","time_end_sketchpad","time_experiment","time_fix_sketchpad","time_fixation","time_fixation_inline_script","time_fixation_pygaze_log","time_fixation_script","time_fixation_sketchpad","time_getting_started","time_image_loop","time_image_stimulus","time_initial_fixation","time_new_1_inline_script","time_new_1_loop","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_inline_script","time_new_2_loop","time_new_2_pygaze_log","time_new_3_inline_script","time_new_3_loop","time_new_4_inline_script","time_new_4_loop","time_new_inline_script","time_new_logger","time_new_loop","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sequence","time_position_loop","time_shuffle_to_csv","time_welcome","title","total_correct","total_response_time","total_responses","width","x1_cor","x2_cor","y1_cor","y2_cor"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","12","12","NA","12","12","NA","NA","NA","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12","NA","0","12","0","0","12","0","0","0","58.83704203034002","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","12","12","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","016.png","000.png","1","odd","157658.0","NA","62086","161003","157988","NA","157988","157658","NA","NA","NA","157996","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","161103","NA","63599","160996","115112","NA","157651","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","-277","277","160","-160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","13","13","NA","13","13","NA","NA","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","13","NA","0","13","0","0","13","0","0","0","49.401868183298504","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","13","13","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","006.png","019.png","1","odd","161218.0","NA","62086","165146","162129","NA","162129","161218","NA","NA","NA","162137","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","165246","NA","63599","165137","115112","NA","161211","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","160","-160","277","-277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","14","14","NA","14","14","NA","NA","NA","14","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14","NA","0","14","0","0","14","0","0","0","48.01142337569263","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","14","14","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","019.png","012.png","1","odd","165338.0","NA","62086","168973","165955","NA","165955","165338","NA","NA","NA","165967","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","169073","NA","63599","168967","115112","NA","165320","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","160","-160","277","-277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","15","15","NA","15","15","NA","NA","NA","15","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15","NA","0","15","0","0","15","0","0","0","31.26507793689306","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","15","15","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","018.png","008.png","1","odd","169156.0","NA","62086","173221","170205","NA","170205","169156","NA","NA","NA","170214","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","173321","NA","63599","173214","115112","NA","169156","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","277","-277","160","-160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","16","16","NA","16","16","NA","NA","NA","16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","16","NA","0","16","0","0","16","0","0","0","94.38191415986442","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","16","16","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","014.png","005.png","1","odd","173430.0","NA","62086","176452","173435","NA","173435","173429","NA","NA","NA","173444","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","176552","NA","63599","176444","115112","NA","173424","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","277","-277","160","-160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","17","17","NA","17","17","NA","NA","NA","17","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","17","NA","0","17","0","0","17","0","0","0","34.810664297022534","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","17","17","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","008.png","018.png","1","odd","176661.0","NA","62086","179683","176665","NA","176665","176661","NA","NA","NA","176674","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","179783","NA","63599","179674","115112","NA","176651","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","320","-320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","18","18","NA","18","18","NA","NA","NA","18","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","18","NA","0","18","0","0","18","0","0","0","54.6882084621539","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","18","18","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","003.png","021.png","1","odd","179897.0","NA","62086","182916","179901","NA","179901","179897","NA","NA","NA","179909","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","183016","NA","63599","182909","115112","NA","179871","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","320","-320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","19","19","NA","19","19","NA","NA","NA","19","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","19","NA","0","19","0","0","19","0","0","0","45.17133794254941","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","19","19","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","021.png","010.png","1","odd","183115.0","NA","62086","186134","183119","NA","183119","183115","NA","NA","NA","183127","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","186234","NA","63599","186127","115112","NA","183113","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","-160","160","277","-277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","20","20","NA","20","20","NA","NA","NA","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20","NA","0","20","0","0","20","0","0","0","63.148333169451156","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","20","20","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","005.png","004.png","1","odd","186320.0","NA","62086","190085","187069","NA","187069","186320","NA","NA","NA","187078","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","190185","NA","63599","190078","115112","NA","186314","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","-277","277","160","-160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","21","21","NA","21","21","NA","NA","NA","21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","21","NA","0","21","0","0","21","0","0","0","59.486353050090365","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","21","21","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","007.png","006.png","1","odd","190281.0","NA","62086","193305","190286","NA","190286","190280","NA","NA","NA","190297","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","193405","NA","63599","193297","115112","NA","190273","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","0","0","-320","320"
